,mRNA,logFC,FDR,Delta,Age 18-40,Age >=40,start,end,diff_exp,Highlight
ENSG00000115414,ENSG00000115414,0.593412188,0.630442259,130731.9984,220305.55,342355.95,215360440,215436073,No,Not in ML
ENSG00000087086,ENSG00000087086,0.765518017,0.433298978,88400.60434,115478.15,196023,48965309,48966879,No,Not in ML
ENSG00000019582,ENSG00000019582,1.46196614,0.030325089,81838.89088,55978.65,155854.3,150400041,150412929,No,In ML
ENSG00000205542,ENSG00000205542,1.373304587,0.046408822,81540.98983,59375.75,156418.15,12975110,12977227,No,Not in ML
ENSG00000198804,ENSG00000198804,0.261307909,0.939273847,78453.59705,300234.3,303593.8,5904,7445,No,Not in ML
ENSG00000198886,ENSG00000198886,0.246253512,0.949012128,71572.67221,290646.3,293929.25,10760,12137,No,Not in ML
ENSG00000164692,ENSG00000164692,0.115129885,0.992757338,69825.84343,606496.25,687660.2,94394895,94431227,No,Not in ML
ENSG00000166710,ENSG00000166710,0.692569521,0.514194356,63935.69806,92316.65,152835.85,44711487,44718851,No,Not in ML
ENSG00000163359,ENSG00000163359,0.792719276,0.404367834,61781.6866,77936.4,131817.15,237324003,237414207,No,Not in ML
ENSG00000011465,ENSG00000011465,1.307124919,0.062577332,55153.87453,42194.8,112507.15,91140484,91183217,No,Not in ML
ENSG00000211896,ENSG00000211896,3.274860681,5.42657027911576e-08,54535.76369,16652.85,144938,105736343,105743071,UP,Not in ML
ENSG00000100345,ENSG00000100345,0.843671043,0.351083812,53278.12168,63150.35,102195.2,36281280,36387967,No,Not in ML
ENSG00000197746,ENSG00000197746,0.638201802,0.576543907,52643.92641,82487.9,116776.4,71816298,71851325,No,Not in ML
ENSG00000196924,ENSG00000196924,0.274704828,0.932466923,52364.7562,190621.9,213966.9,154348524,154374634,No,Not in ML
ENSG00000198888,ENSG00000198888,0.520374151,0.712129897,52050.65867,100025.45,116459.65,3307,4262,No,Not in ML
ENSG00000198712,ENSG00000198712,0.36727952,0.866645342,49248.9883,134091.3,156154.1,7586,8269,No,Not in ML
