"","mRNA","logFC","FDR","Delta","Age 18-40","Age >=40","start","end","diff_exp"
"ENSG00000211896","ENSG00000211896",3.27486068076877,5.42657027911576e-08,54535.7636877403,16652.85,144938,105736343,105743071,"UP"
"ENSG00000211592","ENSG00000211592",2.74405391427462,5.17560377552039e-06,35915.5496569833,13088.5,74382.65,88857161,88857683,"UP"
"ENSG00000100985","ENSG00000100985",2.15882084564815,0.00045034402571945,9327.40134570739,4320.6,18365.4,46008908,46016561,"UP"
"ENSG00000196154","ENSG00000196154",2.09437161763223,0.000704330912575946,9110.20238095755,4349.85,16151.95,153543613,153550136,"UP"
"ENSG00000168477","ENSG00000168477",2.4136842951185,7.10391025476971e-05,5474.23598132875,2268,15458.3,32041153,32115334,"UP"
"ENSG00000177575","ENSG00000177575",1.79948922853863,0.00473028094973,5021.56466669847,2790.55,10711.1,7470811,7503893,"UP"
"ENSG00000211897","ENSG00000211897",1.89717484415375,0.00258789526344127,4935.21578083935,2601.35,8551.35,105764503,105771405,"UP"
"ENSG00000179344","ENSG00000179344",1.84398502326634,0.00360866422395185,4241.99534677305,2300.45,8068.6,32659467,32668383,"UP"
"ENSG00000130595","ENSG00000130595",1.78974749684686,0.00499701487751641,4019.41492841867,2245.8,8059,1919703,1938706,"UP"
"ENSG00000100292","ENSG00000100292",1.80075065203082,0.00469528741568831,3981.90987930316,2211.25,7283.15,35380361,35394214,"UP"
"ENSG00000116690","ENSG00000116690",2.71938272572314,6.349991478963e-06,3817.877377779,1403.95,9584.75,186296279,186314567,"UP"
"ENSG00000130592","ENSG00000130592",1.92617333842419,0.00215392900839558,3524.51197464859,1829.8,8048.55,1850904,1892267,"UP"
"ENSG00000128606","ENSG00000128606",1.80956754786584,0.00445754482637133,3460.79793529342,1912.5,6958.5,102913000,102945111,"UP"
"ENSG00000138615","ENSG00000138615",2.35364036353289,0.000110833403738161,3313.21953974525,1407.7,8297.55,65194760,65211473,"UP"
"ENSG00000211899","ENSG00000211899",2.43127102793289,6.21524899386994e-05,3234.31984845912,1330.3,7854.15,105851705,105856218,"UP"
"ENSG00000102575","ENSG00000102575",1.87433731499535,0.00299158844308297,3129.29986425049,1669.55,4280.3,11574660,11579008,"UP"
"ENSG00000135678","ENSG00000135678",1.89675416126065,0.00259557684231779,2992.69871563706,1577.8,4912.3,68842197,68971570,"UP"
"ENSG00000253755","ENSG00000253755",4.37667438303823,1.42659539222444e-12,2942.65702143575,672.35,11812,105664633,105669843,"UP"
"ENSG00000079931","ENSG00000079931",3.47438974257694,8.69654402844052e-09,2845.17776019625,818.9,9848.7,132296055,132401475,"UP"
"ENSG00000165168","ENSG00000165168",1.82864145560712,0.00397651938290696,2752.83684727096,1505.4,6092.4,37780059,37813461,"UP"
"ENSG00000211677","ENSG00000211677",1.99955796211939,0.00133097159226908,2567.13248966698,1283.85,5215.4,22900976,22901437,"UP"
"ENSG00000155659","ENSG00000155659",1.9622064690941,0.0016990229189763,2428.23050550395,1237.5,5680.3,66021738,66040125,"UP"
"ENSG00000168079","ENSG00000168079",2.71000820622665,6.86893218884373e-06,2371.66368167925,875.15,7752.2,27869883,27992673,"UP"
"ENSG00000138755","ENSG00000138755",2.38244697933445,8.94902049429197e-05,2158.02047388115,905.8,4655.05,76001275,76007509,"UP"
"ENSG00000133800","ENSG00000133800",1.87680852784041,0.00295453873640744,2089.45093404473,1113.3,4788.5,10556966,10611689,"UP"
"ENSG00000275395","ENSG00000275395",2.59998261535907,1.67740594278418e-05,1917.22718056577,737.4,3925.25,39863323,39934626,"UP"
"ENSG00000211598","ENSG00000211598",3.3829352510261,2.02849281633568e-08,1900.70217078902,561.85,4809.1,88885397,88886153,"UP"
"ENSG00000175592","ENSG00000175592",2.85030449792574,2.17749475364644e-06,1850.70271050318,649.3,3642.25,65892049,65900573,"UP"
"ENSG00000137745","ENSG00000137745",2.67361196399175,9.24861893077175e-06,1736.77833180904,649.6,3384.1,102942995,102955732,"UP"
"ENSG00000136052","ENSG00000136052",2.40561921490485,7.53713147271795e-05,1735.41370163236,721.4,3468.8,104802553,104958744,"UP"
"ENSG00000114200","ENSG00000114200",2.23266702921805,0.000269286718055669,1592.78465864416,713.4,3780.9,165772904,165837462,"UP"
"ENSG00000013503","ENSG00000013503",1.9003345307898,0.00254062422858165,1551.71816111641,816.55,2690.15,106357748,106510198,"UP"
"ENSG00000198910","ENSG00000198910",2.05215571944549,0.000934471118311082,1466.06004597186,714.4,3211.8,153861514,153886173,"UP"
"ENSG00000138435","ENSG00000138435",2.90617497794118,1.37146634613764e-06,1457.88267768419,501.65,3492.1,174747592,174787935,"UP"
"ENSG00000196616","ENSG00000196616",2.78233540560354,3.83017746542746e-06,1439.85857239983,517.5,2895.1,99304971,99352760,"UP"
"ENSG00000198756","ENSG00000198756",2.49805509821221,3.71379072152934e-05,1229.79252484987,492.3,2365.5,183929854,184037729,"UP"
"ENSG00000105825","ENSG00000105825",2.20466491429851,0.000326962959792993,1118.97767725221,507.55,2408.05,93885396,93890753,"UP"
"ENSG00000169245","ENSG00000169245",2.18411854648817,0.000378446689530839,1091.84086138944,499.9,2426.95,76021118,76023497,"UP"
"ENSG00000170961","ENSG00000170961",2.02406542330446,0.00113125865050575,1086.3159126875,536.7,2223.65,121612116,121641440,"UP"
"ENSG00000187210","ENSG00000187210",1.80500688800587,0.00458593486207574,1071.81309009789,593.8,1932.35,76419850,76651203,"UP"
"ENSG00000013297","ENSG00000013297",2.49980349556341,3.68095794933392e-05,1003.29613294438,401.35,2471.15,170418868,170454733,"UP"
"ENSG00000131203","ENSG00000131203",2.31711447682178,0.000145751802371543,989.755448774424,427.15,2244.95,39902275,39928790,"UP"
"ENSG00000090659","ENSG00000090659",1.88358350210297,0.00283630765011237,943.769513728692,501.05,2208.25,7739993,7747564,"UP"
"ENSG00000211660","ENSG00000211660",5.45222661865626,1.87120404711596e-17,941.054314380071,172.6,7434.4,22697789,22698407,"UP"
"ENSG00000154451","ENSG00000154451",2.16201907812506,0.000442383390632767,910.858637614087,421.3,1946.3,89258950,89272804,"UP"
"ENSG00000169282","ENSG00000169282",2.11832305478568,0.000600144179937489,897.533478312694,423.7,1782.4,156037701,156539138,"UP"
"ENSG00000029559","ENSG00000029559",3.39860242599292,1.74412180326934e-08,850.33032698343,250.2,2212.45,87799554,87812435,"UP"
"ENSG00000122121","ENSG00000122121",2.80051822147747,3.33036118674737e-06,843.656114220087,301.25,2461.45,129738974,129769536,"UP"
"ENSG00000135472","ENSG00000135472",1.81473458866352,0.00433409794417719,805.197736990006,443.7,1439.3,49866896,49904217,"UP"
"ENSG00000117600","ENSG00000117600",3.99322615487579,6.5051348710667e-11,770.492986583284,192.95,3297.8,99263953,99309590,"UP"
"ENSG00000135333","ENSG00000135333",1.91258080902155,0.00235735507793927,717.887206666239,375.35,1419.85,93240020,93419559,"UP"
"ENSG00000029534","ENSG00000029534",1.8993054814401,0.0025677509365348,643.959523482266,339.05,1203.1,41653220,41896762,"UP"
"ENSG00000131042","ENSG00000131042",1.88091580201217,0.00288902499117368,616.56419989959,327.8,1248.25,54273812,54281184,"UP"
"ENSG00000211651","ENSG00000211651",3.2578541148397,6.33704776267389e-08,609.544504886507,187.1,1705.2,22380766,22381347,"UP"
"ENSG00000211949","ENSG00000211949",1.98729038781975,0.00145372276662654,595.78965826836,299.8,1183.1,106268606,106269140,"UP"
"ENSG00000160867","ENSG00000160867",2.58831156531999,1.86267363178883e-05,559.204713687384,216.05,1274.4,177086905,177098144,"UP"
"ENSG00000154258","ENSG00000154258",2.04437104127112,0.00099182053146145,514.057098327624,251.45,1193.9,68974488,69060949,"UP"
"ENSG00000102683","ENSG00000102683",1.98775374458205,0.00144960202683974,490.577624162851,246.8,963.6,23180979,23325162,"UP"
"ENSG00000211959","ENSG00000211959",3.43484335590697,1.26352187962826e-08,488.262983042175,142.15,1190.4,106421711,106422218,"UP"
"ENSG00000139330","ENSG00000139330",2.47982243697267,4.30477472719494e-05,474.762005558417,191.45,960.6,91050491,91058024,"UP"
"ENSG00000130487","ENSG00000130487",2.68909232983015,8.27563482760948e-06,473.414704666597,176.05,1098.9,50545899,50551023,"UP"
"ENSG00000127083","ENSG00000127083",1.96789925414027,0.0016456101594834,461.964349909429,234.75,847.05,92414245,92424461,"UP"
"ENSG00000205221","ENSG00000205221",1.85815525162852,0.00331704027313231,453.482789159939,244.05,898.3,36696690,36814792,"UP"
"ENSG00000128564","ENSG00000128564",2.56391065045127,2.27042625455839e-05,451.248274479424,176,1079.9,101162509,101165569,"UP"
"ENSG00000169429","ENSG00000169429",1.80540924985434,0.00457451598639332,450.810689688628,249.7,646.85,73740541,73743716,"UP"
"ENSG00000171051","ENSG00000171051",1.87837441564849,0.00294901492358031,448.931485339989,239,930.35,51745172,51804110,"UP"
